grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,n_d,n_a,n_steps
13,1,2.543022177268765,1.3051750659942627,1.2856788635253906,14,24,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0013_fold1,1.2856788635253906,2.5800366401672363,1.6062492459662778,0.6620744466781616,35.398613,TabNetRegressor,32,32,3
13,2,2.4561150502751303,1.2430695295333862,1.2358375787734985,13,23,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0013_fold2,1.2358375787734985,2.423119068145752,1.5566371022642855,0.6666612029075623,33.739002,TabNetRegressor,32,32,3
13,3,2.5475963088968734,1.2443722486495972,1.2309328317642212,14,24,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0013_fold3,1.2309328317642212,2.3680567741394043,1.5388491719916557,0.6747468709945679,35.059563,TabNetRegressor,32,32,3
13,4,2.472606364768807,1.2524635791778564,1.2394979000091553,19,29,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0013_fold4,1.2394979000091553,2.3621482849121094,1.5369281977086988,0.6422485709190369,35.2874,TabNetRegressor,32,32,3
13,5,2.568245572468139,1.2214365005493164,1.2207129001617432,7,17,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0013_fold5,1.2207129001617432,2.42362642288208,1.5568000587365354,0.6696416139602661,34.159573,TabNetRegressor,32,32,3
14,1,2.4882330678562905,1.3070433139801025,1.2826294898986816,14,24,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0014_fold1,1.2826294898986816,2.6084847450256348,1.6150804144145996,0.6583483815193176,37.071583,TabNetRegressor,32,32,5
14,2,2.560298665247425,1.2418537139892578,1.2356212139129639,14,24,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0014_fold2,1.2356212139129639,2.382657051086426,1.543585777042023,0.6722273826599121,34.442673,TabNetRegressor,32,32,5
14,3,2.5721651619326185,1.2607085704803467,1.24946928024292,6,16,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0014_fold3,1.24946928024292,2.5242276191711426,1.5887818035120942,0.653296709060669,34.72945,TabNetRegressor,32,32,5
14,4,2.518328425032612,1.2467397451400757,1.242211937904358,20,30,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0014_fold4,1.242211937904358,2.407130479812622,1.5514929841325813,0.635435938835144,34.972218,TabNetRegressor,32,32,5
14,5,2.4473358820574718,1.230402946472168,1.2199491262435913,35,45,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0014_fold5,1.2199491262435913,2.3451406955718994,1.531385221154984,0.6803398132324219,35.794685,TabNetRegressor,32,32,5
